investment,fair_value
Anticimex Global AB,"$243,524"
"Belron Finance 2019, LLC","$247,974"
Chrysaor Bidco S.ar.l. (TLB),"$232,328"
Chrysaor Bidco S.a r.l. (DTL),"$17,225"
Flutter Entertainment,"$247,095"
"Grifols, S.A.","$168,380"
Hyperion Insurance (HIG Finance),"$198,682"
Jazz Pharmaceuticals Public Limited Company,"$178,454"
Minimax (MX Mercury),"$249,063"
Nouryon Fin B.V.,"$142,234"
Peer Holding B.V.,"$248,689"
ThyssenKrupp Elevator (Vertical Midco),"$246,054"
Advisor Group (OSAIC),"$244,196"
"Agiliti Health, Inc.","$232,844"
"AlixPartners, LLC","$244,003"
"Allied Universal Holdco, LLC","$99,318"
Alterra Mountain Company,$245
"American Airlines, Inc.","$240,835"
"AmWINS Group, Inc.","$98,873"
API Group (J2 Acquisition),"$238,001"
"Ascensus Group Holdings, Inc.",$198
"Atlantic Aviation, Inc.","$242,275"
"BCPE Pequod Buyer, Inc.","$149,411"
"Beacon Roofing Supply, Inc.","$246,490"
"Berlin Packaging, LLC",$198
Blackstone CQP Holdco L.P.,$249
"BroadStreet Partners, Inc.","$499,252"
"Buyer's Edge Company, Inc.","$248,128,248,128"
Chamberlain Group,"$197,448"
Clipper Acquisitions Corporation,"$113,181"
"Clydesdale Acquisition Holdings, Inc. (TLB)","$195,418"
"Clydesdale Acquisition Holdings, Inc. (DTL)","$3,416"
"Concentra Health Services, Inc.","$248,752"
"Cotiviti Holdings, Inc.","$241,937"
Covanta Holding Corporation (TLB),"$181,644"
Covanta Holding Corporation (TLC),"$13,990"
"DaVita, Inc.","$198,610"
"DRW Holdings, LLC","$248,908"
EMRLD Borrower L.P,"$196,373"
Entain (GVC),"$248,202"
Epicor Software Corporation,$301
"ExamWorks, Inc.","$195,971"
"FB Income Advisor, LLC","$297,006"
First Advantage Corporation,"$198,129"
"First Eagle Management, LLC","$247,228"
"Fleetcor Technologies Operating Company, LLC","$247,896"
"Fronen Froneri international, International, Ltd.",$268
"Grant Grant Thornton Thornton Advi Advisors, LLC",$247
"Grosvenor Cap Mgmt Holdings, LLLP","$204,341"
"GTCR Everest Borrower, LLC","$247,427"
"Hamilton Projects Acquiror, LLC","$239,973"
"Hudson River Trading, LLC","$194,967"
"Icon Parent I, Inc.","$396,656"
"Jane Street Group, LLC","$241,182,241,182"
Johnstone Supply,"$246,496"
"June Purchaser, LLC (TLB)","$171,509"
"June Purchaser, LLC (DTL)","$28,585"
"Madison IAQ, LLC","$198,000"
"Maravai Intermediate Holdings, LLC","$133,634"
Mavis Tire Express Services Corporation,"$198,526"
"Medline Borrower, L.P.","$266,519"
"MeridianLink, Inc.","$247,809"
"Mitchell International, Inc.","$147,328"
MyEyeDr,"$248,193"
"NAB Holdings, LLC","$266,461"
"NRG Energy, Inc.","$246,842"
"OneDigital Borrower, LLC","$197,509"
Organon & Co.,"$491,308"
Osmosis Buyer Limited,"$243,093"
Parexel International Corporation,"$234,236"
"Plano Holdco, Inc.",$249
"Power Solutions (Clarios Global, L.P.)","$295,125"
"Project Boost Purchaser, LLC",$198
"Proofpoint, Inc.","$243,383"
"Quikrete Holdings, Inc.","$246,938"
"RealPage, Inc. Inc.",$193
"Savage Enterprises, LLC","$248,071"
"Sedgwick Claims Management Services, Inc.","$223,035"
Signature Aviation,"$243,105"
"Starwood Property Mortgage, LLC","$248,285"
"The Baldwin Insurance Group Holdings, LLC","$205,798"
The Dun & Bradstreet Corporation,"$244,355"
"The Ultimate Software Group, Inc.","$298,453"
Titan,"$99,375"
Trans Union,"$189,048"
"TransDigm, Inc.","$237,314"
United Pacific,"$247,663"
"Valvoline, Inc.","$199,750"
Vertiv Group Corporation,"$247,986"
Vistra Energy Corporation,"$243,833"
"Vistra Zero Operating Company, LLC","$239,656"
"White Cap Supply Holdings, LLC","$241,360"
White Water DBR Holdco LLC,"$198,005"
"Zelis Cost Management Buyer, Inc.","$246,947"
Ardonagh Midco 3 Limited,"$221,906"
"ACTE II Grand Co-Invest, L.P.",$11
Astorg VIII Co-Invest Corden,"$13,409,274"
Aurelia Co-Invest SCSp,"$14,477,661"
"Cinven Isabella, L.P.","$14,359,390"
Cinven Pegasus Limited Partnership,"$7,932,749"
"Delta Opportunities, L.P.","$6,382,082"
"ECL ECI 12 E, L.P.",
"Everest Co-Investment, L.P.","$10,759,053"
HPM Sub-Pooling S.à r.l.,"$169,999"
Indigo Acquisition Holding B.V.,"$477,966"
"Menrva Co-investment, L.P.","$15,881,000"
PP Food Technologies HoldCo S.p.A,"$8,108,985"
"PSC Tiger, L.P.","$3,409,985"
"SEP EIGER Aggregator, L.P.",
"TSO III Project Olympus Co-Invest, L.P.","$9,299,757"
Vantage RC Holding B.V.,"$13,467,402"
"AHR Parent Holdings, L.P.","$5,015,757"
BarBri Topco L.P.,"$17,594,237"
"BCPE Polymath Investor, L.P.","$7,480,153"
"BCPE Virginia Investor, L.P.","$5,750,000"
"BharCa Cap Babylon Acquisition, L.P.","$8,908,483"
BSP-FL -FL Intermed Intermediate Inc.,"$12,500,000"
"Cascade Equity Holding, LLC","$7,500,000"
Cetera Financial Group,$5
"Corsair Amore Investors, L.P.",
"CSC Riviera Co-Invest, L.P.",$17
"CSC Tau u Co-Invest/ Aggregator, L.P.","$7,143,000"
EQT X Co-Investment (A) SCSP,"$11,164,488"
GTCR (W-2) Investors L.P.,"$11,966,503"
Gula Co-Invest II. L.P.,"$13,333,000"
KKR Icon Co-Invest L.P,"$17,857,000"
LM Carpenter Co-Invest-A I L.P.,"$6,153,750"
Magnesium Co-Invest SCSp,"$11,865,570"
"MidOcean Partners QT Co-Invest, L.P.",$7
"MOP-Arnott Holdings, L.P.","$2,778,000"
"NCP MSI Co-Invest, L.P.","$5,084,666"
"NS UI A, LLC","$8,980,183"
"OEP VIII Project Greenheart Co-investment Partners, L.P.","$10,985,932"
"Oscar Holdings, L.P","$6,190,704"
"PC Key Data Holdings, L.P.","$7,500,000"
"Plano Co-investment II, L.P.",$8
PRETZEL CO-INVEST. L.P.,"$15,823,000"
"Quad-C Synoptek Holdings, LLC","$3,050,000"
"RCR Equity, L.P.","$414,882"
"Rocket Co-Invest, SLP",$8
"SCP FCA Investments, LLC",
"Sentinel NSI Co-Invest, L.P.","$5,230,874"
"SEP Hero Co-Invest I-A, L.P.","$7,753,000"
"SkyKnight Financial Holdings, L.P.","$7,780,149"
"SkyKnight Insurance Holdings, L.P.",$2
"STG AV, L.P.","$5,000,000"
"Trivest Bright Co-Invest, L.P.","$5,207,917"
"Truclink Voltron A, L.P.","$5,000,000"
CCC Aggregator L.P.,"$4,169,446"
"Webster Cascade Aggregator II, L.P.","$538,137"
"Webster Oceans Co-Investment Fund, L.P.","$6,303,350"
"WPP Fairway Aggregator B, L.P.","$365,600"
Habit Health,"$4,784,803"
"KKR Sirius Co-Invest, L.P.","$10,360,683"
Mason Stevens Co Investment Trust,"$4,748,471"
"Webster Cascade Aggregator, L.P.","$3,849,970"
