file,status,quality_score,holdings,subtotals,fv_coverage,name_coverage,section_coverage,issues
01e69c24-b339-4564-8f3a-d429b5db8bb1,OK,100,271,38,100%,100%,100%,
8904b64e-d21b-4f11-a665-65dc8566e6ae,OK,100,268,73,100%,100%,100%,
a74af8a7-068c-450a-ba5d-e281735b7593,OK,100,227,46,100%,100%,100%,
e9af592f-a06a-4bae-8ce2-ebc2bf918ad6,OK,100,287,78,100%,100%,100%,
35d5886c-6653-416e-b7c6-56c901de7c61,OK,85,186,80,100%,100%,100%,"Arithmetic mismatch: holdings sum to $175,969,308, total row shows $194,252,023 (10.4% diff)"
54dab3ed-19ba-486f-a337-e36542705cd3,OK,85,290,37,100%,100%,100%,"Arithmetic mismatch: holdings sum to $1,044,404, total row shows $898,933 (13.9% diff)"
91d85897-c379-486e-9838-c26a616637de,OK,85,243,33,100%,100%,100%,"Arithmetic mismatch: holdings sum to $964,711, total row shows $880,029 (8.8% diff)"
94a1595f-78cb-4b88-b1df-2ca6b5437236,OK,85,285,54,100%,100%,100%,"Arithmetic mismatch: holdings sum to $273,530,580, total row shows $191,966,421 (29.8% diff)"
b3e0cb34-4f0c-46b9-80fa-02fc6f0872e4,OK,85,289,115,99%,100%,100%,"Arithmetic mismatch: holdings sum to $201,976,298, total row shows $186,237,429 (7.8% diff)"
dda3a4d2-e461-4fd6-b57d-85cbf4470f7c,OK,85,272,19,100%,100%,100%,"Arithmetic mismatch: holdings sum to $1,120,976, total row shows $927,037 (17.3% diff)"
eed6fd35-dde8-4e2c-a669-b903d2fceb6c,OK,85,297,5,100%,100%,100%,"Arithmetic mismatch: holdings sum to $1,225,066, total row shows $929,492 (24.1% diff)"
0000002230-03-000010,OK,80,10,1,0%,100%,100%,Only 0% of holdings have fair_value
0000002230-04-000040,OK,80,94,37,0%,100%,100%,Only 0% of holdings have fair_value
0000002230-06-000044,OK,80,85,25,0%,100%,100%,Only 0% of holdings have fair_value
0000002230-08-000057,OK,80,65,23,0%,100%,100%,Only 0% of holdings have fair_value
0000088053-05-001116,OK,80,36,6,0%,100%,100%,Only 0% of holdings have fair_value
0000088053-05-001117,OK,80,49,7,0%,100%,100%,Only 0% of holdings have fair_value
0000088053-17-001401,OK,80,1,39,0%,100%,100%,Only 0% of holdings have fair_value
0000216851-04-000018,OK,80,65,25,0%,100%,100%,Only 0% of holdings have fair_value
0000216851-06-000012,OK,80,35,2,0%,100%,100%,Only 0% of holdings have fair_value
0000216851-06-000041,OK,80,62,21,0%,100%,100%,Only 0% of holdings have fair_value
0000216851-08-000043,OK,80,47,6,0%,100%,100%,Only 0% of holdings have fair_value
0000351786-03-000010,OK,80,14,1,0%,100%,100%,Only 0% of holdings have fair_value
0000855887-03-000006,OK,80,115,44,0%,100%,100%,Only 0% of holdings have fair_value
0000860489-03-000011,OK,80,51,13,0%,100%,100%,Only 0% of holdings have fair_value
0000866095-05-000001,OK,80,85,53,0%,100%,94%,Only 0% of holdings have fair_value
